Year,First,Last,,,,,,,,,,,,,,,,,,,,
2024,Ketel,Marte,2B,,0,0,0,,0.333,0.333,0.333,0.667,,,,,,,,3,1,
2024,   Ryan,McMahon,2B,,0,0,1,,0,0,0,0,,,,,,,,0,1,
2024,Shohei,Ohtani,DH,,3,1,1,,0.5,0.667,2,2.667,,,,,,,,0,0,HR
2024,   Marcell,Ozuna,PH-DH-DH,,0,0,0,,0,0,0,0,,,,,,,,0,0,
2024,Trea,Turner,SS,,0,0,1,,0.333,0.333,0.333,0.667,,,,,,,,2,2,
2024,   CJ,Abrams,SS,,0,0,1,,0,0,0,0,,,,,,,,0,1,
2024,Bryce,Harper,1B,,0,0,0,,0.333,0.333,0.667,1,,,,,,,,4,0,"2B,GDP"
2024,   Heliot,Ramos,RF,,0,0,1,,0,0,0,0,,,,,,,,1,0,
2024,William,Contreras,C,,0,0,1,,0,0,0,0,,,,,,,,2,0,
2024,   Will,Smith,C,,0,0,0,,0.5,0.5,0.5,1,,,,,,,,4,0,
2024,Christian,Yelich,RF,,0,0,0,,0,0,0,0,,,,,,,,0,0,
2024,   Freddie,Freeman,PH-1B,,0,0,0,,0,0,0,0,,,,,,,,1,1,GDP
2024,   Pete,Alonso,1B,,0,0,1,,0,0,0,0,,,,,,,,2,0,
2024,Alec,Bohm,3B,,0,0,0,,0.5,0.5,0.5,1,,,,,,,,0,2,
2024,   Elly,De,,Cruz 3B,0,0,0,,0.5,0.5,0.5,1,,,,,,,,0,1,
2024,Teoscar,Hernández,CF,,0,0,1,,0,0,0,0,,,,,,,,3,0,
2024,   Jackson,Merrill,CF,,0,0,0,,0.5,0.5,0.5,1,,,,,,,,0,0,
2024,Jurickson,Profar,LF,,0,0,0,,0.5,0.5,0.5,1,,,,,,,,1,0,
2024,   Bryan,Reynolds,LF,,0,0,1,,0.5,0.5,0.5,1,,,,,,,,0,0,
2024,Steven,Kwan,LF,,0,1,0,,0,0.5,0,0.5,,,,,,,,0,0,
2024,   Riley,Greene,LF,,0,0,1,,0,0,0,0,,,,,,,,2,0,
2024,Gunnar,Henderson,SS,,0,0,0,,0,0,0,0,,,,,,,,1,3,
2024,   Corey,Seager,SS,,0,0,0,,0,0,0,0,,,,,,,,0,0,
2024,   Bobby,Witt,,,0,0,1,,0,0,0,0,,,,,,,,1,2,
2024,Juan,Soto,RF,,2,1,0,,1,1,2,3,,,,,,,,1,0,2B
